,hotel,rating,kind_rat,reviews,reviews_clean,price,price_clean
80,Vittori Palace Hotel and Residences,8.5,Very Good,"1,204 reviews",1204,SAR 600,600
81,HDB hotel Sahafa فندق هدب الصحافه,7.5,Good,"1,430 reviews",1430,SAR 405,405
82,Al Diafah Hotel Suites,7.0,Good,700 reviews,700,SAR 218.14,218.14
83,Business Inn Tahlia Hotel,6.5,Review score,"1,112 reviews",1112,SAR 254,254
84,Mena Hotel Riyadh,6.4,Review score,"2,549 reviews",2549,SAR 277,277
85,Al Muhaidb Down Town - King Fahd Road,7.9,Good,"1,021 reviews",1021,SAR 250,250
86,Al Muhaidb Residence - Al Malaz,7.7,Good,"1,339 reviews",1339,SAR 285,285
87,Al Muhaidb Al Malaz - Al Farazdaq Road,7.0,Good,755 reviews,755,SAR 290,290
88,Hyatt Buyutat,6.8,Review score,"1,357 reviews",1357,SAR 536,536
89,اجنحه وارف,6.3,Review score,47 reviews,47,SAR 249,249
90,Al Hamra Palace By Warwick,7.2,Good,"1,249 reviews",1249,SAR 400,400
91,Al Muhaidb Al Takhasosi Hotel,8.2,Very Good,"1,281 reviews",1281,SAR 310,310
92,قصر الحمراء فرع الاسواق,6.7,Review score,"2,436 reviews",2436,SAR 113,113
93,Aber Al Takhassusi,8.5,Very Good,671 reviews,671,SAR 550,550
94,Mena Andalusia Riyadh,7.1,Good,"3,347 reviews",3347,SAR 248,248
95,IRIS BOUTIQUE GRANADA,8.8,Excellent,726 reviews,726,SAR 550,550
96,Al Muhaidb Tahliya (Olaya),6.3,Review score,607 reviews,607,SAR 245,245
97,Grand Plaza Hotel-KAFD Riyadh,7.9,Good,612 reviews,612,SAR 568,568
98,صبا للشقق الفندقيه,7.2,Good,528 reviews,528,SAR 250,250
99,القبة الذهبية1,6.7,Review score,249 reviews,249,SAR 160,160
100,Durrat Al Riyadh Resort & Spa,6.9,Review score,"5,140 reviews",5140,SAR 528,528
101,Sama Al Qasr - Khurais,7.5,Good,889 reviews,889,SAR 230,230
102,Gardino Hotel & Residence - فندق جاردينو,8.6,Excellent,493 reviews,493,SAR 717,717
103,Four Points By Sheraton Riyadh Khaldia,7.7,Good,"1,745 reviews",1745,"SAR 1,126",1126
104,MENA AL DIYAR 114,6.5,Review score,520 reviews,520,SAR 216,216
105,فندق العاصمة,6.2,Review score,141 reviews,141,SAR 143,143
106,Al Muhaidb Residence Al Takhassusi,6.8,Review score,"1,134 reviews",1134,SAR 270,270
107,Almakan Hotel 103,5.9,Review score,"1,798 reviews",1798,SAR 252,252
108,Al Muhaidb Sulaimanya Askary Hospital,7.7,Good,"1,950 reviews",1950,SAR 250,250
109,Clemence Suites,8.6,Excellent,527 reviews,527,SAR 750,750
110,Al Muhaidb ALOlaya Suites,8.0,Very Good,"1,091 reviews",1091,SAR 345,345
111,Super 8 Al Riyadh,6.9,Review score,737 reviews,737,SAR 264,264
112,Sama Hotel,7.3,Good,"1,182 reviews",1182,SAR 270,270
113,Golden Tulip Al Nasiriah Hotel,6.6,Review score,"3,569 reviews",3569,SAR 255,255
114,Al Naseem Apartments 9,4.8,Review score,26 reviews,26,SAR 44,44
115,Mnazel Jawraq,8.7,Excellent,58 reviews,58,"SAR 2,250",2250
116,Braira Al Nakheel,8.7,Excellent,"3,839 reviews",3839,SAR 732,732
117,Corp Inn Deira.,6.7,Review score,738 reviews,738,SAR 254,254
118,Al Quba Al Thahbia Hotel Suites 2,6.5,Review score,"1,007 reviews",1007,SAR 169,169
